id,name
cmd059ion0000e6d85kexfukl,TUME YA UTUMISHI SERIKALINI
cmd06nn7n0001e67w2h5rf86x,"OFISI YA RAIS, FEDHA NA MIPANGO"
cmd06nn7r0002e67w8df8thtn,WIZARA YA ELIMU NA MAFUNZO YA AMALI
cmd06nn7u0003e67wa4hiyie7,WIZARA YA AFYA
cmd06xe1x0000e6bqalx28nja,Ofisi ya Msajili wa Hazina
cmd06xe220001e6bqj26tnlsj,Ofisi ya Mkuu wa Mkoa wa Kusini Unguja
cmd06xe250002e6bqp8aabk92,Wakala wa Vipimo Zanzibar
cmd06xe270003e6bq0wm0v3c7,"WIZARA YA MAENDELEO YA JAMII,JINSIA,WAZEE NA WATOTO"
cmd06xe2a0004e6bqwbtjm4x9,KAMISHENI YA UTUMISHI WA UMMA
cmd06xe2c0005e6bqulk6iu8g,WAKALA WA SERIKALI MTANDAO (eGAZ)
cmd06xe2e0006e6bqvjfhq32c,OFISI YA MKAGUZI MKUU WA NDANI WA SERIKALI
cmd06xe2j0008e6bqqpmbs9bv,Ofisi ya Mhasibu Mkuu wa Serikali
cmd06xe2m0009e6bq0ps9u9ut,TAASISI YA NYARAKA NA KUMBUKUMBU
cmd06xe2o000ae6bquqbkbg4z,"AFISI YA RAISI KAZI, UCHUMI NA UWEKEZAJI"
cmd06xe2r000be6bqrqhwhbq1,KAMISHENI YA UTALII ZANZIBAR
cmd06xe2t000ce6bq2jxl6o5e,SEKRETARIETI YA AJIRA .
cmd06xe2w000de6bqzqo9qu3m,TAASISI YA ELIMU YA ZANZIBAR
cmd06xe2y000ee6bqel875c2s,KAMISHENI YA KUKABILIANA NA MAAFA ZANZIBAR
cmd06xe30000fe6bqe6ljiz1v,WAKALA WA MAJENGO ZANZIBAR
cmd06xe34000he6bqfdqiw9ll,WIZARA YA KILIMO UMWAGILIAJI MALIASILI NA MIFUGO
cmd06xe37000ie6bq43r62ea6,WIZARA YA UJENZI MAWASILIANO NA UCHUKUZI
cmd06xe39000je6bqeouszvrd,OFISI YA MAKAMO WA KWANZA WA RAISI
cmd06xe3b000ke6bqxuwovzub,WIZARA YA BIASHARA NA MAENDELEO YA VIWANDA
cmd06xe3e000le6bqscwfh5be,SEKRETARIETI YA AJIRA
cmd06xe3g000me6bqh9gabe3e,"OFISI YA RAIS, TAWALA ZA MIKOA, SERIKALI ZA MITAA NA IDARA MAALUMU ZA SMZ"
cmd06xe3i000ne6bq2q3y9g2z,OFISI YA RAIS - KATIBA SHERIA UTUMISHI NA UTAWALA BORA
cmd06xe3l000oe6bq5drrocqt,"WIZARA YA HABARI, VIJANA, UTAMADUNI NA MICHEZO"
cmd06xe3n000pe6bquce6e6ga,TUME YA UCHAGUZI YA ZANZIBAR
cmd06xe3p000qe6bqwqcuyke1,OFISI YA MAKAMO WA PILI WA RAISI
cmd06xe3r000re6bqum8g62id,WIZARA YA UCHUMI WA BULUU NA UVUVI
cmd06xe3t000se6bqknluakbq,OFISI YA MUFTI MKUU WA ZANZIBAR
cmd06xe3w000te6bqc44b0xpr,MAMLAKA YA KUZUIA RUSHWA NA UHUJUMU WA UCHUMI ZANZIBAR
cmd06xe3y000ue6bqzqkztrsa,WIZARA YA ARDHI NA MAENDELEO YA MAKAAZI ZANZIBAR
cmd06xe40000ve6bqrip9e4m6,WIZARA YA UTALII NA MAMBO YA KALE
cmd06xe43000we6bqegt3ofa0,OFISI YA RAIS - IKULU
cmd06xe45000xe6bqb6qc19ys,MAMLAKA YA KUDHIBITI NA KUPAMBANA NA DAWA ZA KULEVYA ZANZIBAR
cmd06xe48000ye6bqwhlp0tum,TUME YA MAADILI YA VIONGOZI WA UMMA
cmd06xe4b0010e6bqt54zkblq,AFISI YA MKURUGENZI WA MASHTAKA
cmd06xe4e0011e6bqv8eg0b16,AFISI YA MWANASHERIA MKUU
cmd06xe4g0012e6bqou5f9gur,WIZARA YA MAJI NISHATI NA MADINI
inst_1753108793068,Updated Test Institution
cmd06xe2h0007e6bqta680e3b,KAMISHENI YA ARDHI ZANZIBAR
